2,1065287,638575,3055212,682075,1117412,1103225
4,933262,899487,4149562,858200,1329875,1229387
6,1290050,1339237,6401675,991687,1661762,1940900
8,1839375,1404437,11704125,1115475,2211175,3117362
10,2983412,2606162,11499812,1203637,3054662,4955125
12,3472587,3161050,12280537,1741300,9359650,14790650
14,4313862,3206075,11029650,2197562,171053950,9437850
