2,45,46,76,81,53,63,56
4,221,108,123,162,130,130,140
6,645,190,192,335,238,196,192
8,888,420,455,490,379,291,324
10,906,488,466,608,382,350,418
12,747,578,473,678,514,465,541
14,1817,588,546,750,764,592,702
16,3055,645,661,954,902,724,816
18,3306,748,731,974,1127,894,1112
20,3320,868,838,1241,1143,960,1198
22,5628,1001,981,1348,1391,1183,1466
