2,24,28,50,36,33,46,56,622,602
4,112,106,89,49,79,100,77,896,875
6,246,166,118,123,126,138,117,1062,1070
8,762,262,155,149,215,170,158,1308,957
10,1064,511,389,254,346,198,260,1498,1326
12,524,589,321,261,441,273,304,1450,1716
14,1580,750,331,265,468,481,604,1769,1470
16,2035,730,398,306,1153,547,757,1686,1727
18,2471,1023,360,383,641,703,862,1842,1716
20,2575,993,503,380,970,819,1065,1925,1895
22,2579,1076,444,396,813,892,1196,1999,2153
