2,560718,507031,435463,525785,500882,666742,571493,499350,609749
4,1007617,1386396,901926,592088,606320,690810,736465,722613,852270
6,1207173,1162419,1303593,1115054,1196935,1523750,932058,1283768,1278955
8,1447263,1467646,2111764,1437577,1197401,1697897,1696616,1552985,2141421
10,1743376,1712178,1187401,1290333,1407688,1780452,2943985,1100154,1417337
12,1605144,1986154,1956534,1558055,1886600,2156615,2908353,1105529,1244770
14,1641259,1539336,2494881,1827107,2317093,2405764,2458577,2966167,2816969
16,1764783,2365280,2391771,1655768,1869842,2318264,2639617,5344704,3185167
18,2382303,2432696,3343531,3059399,3581622,3175862,3030527,3097215,3539011
20,3403556,3322326,3438481,3416892,3450916,3369717,3455089,3376147,3394765
22,3739457,3696028,3646592,3605776,3618086,3455427,3722572,3765595,3778971
24,4079548,3974230,4162581,3955653,4129982,4071799,3777725,4055190,4133251
